,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,Lucy left gripper,0.238,-0.101,0.719,-0.502,0.37,-0.625,-0.469
1,Lucy right gripper,0.179,-0.119,0.72,-0.494,0.381,-0.619,-0.478
