,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,Lucy left gripper,0.573,0.059,0.677,-0.684,0.187,-0.68,-0.187
1,Lucy right gripper,0.508,-0.035,0.677,-0.67,0.231,-0.667,-0.23
