,0,1,2,3,4,5,6,7
0,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
1,Lucy left gripper,-0.026,0.302,0.836,-0.169,-0.349,-0.772,0.503
2,Lucy right gripper,0.07,0.196,0.801,-0.313,-0.137,-0.845,0.412
