,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,Lucy left gripper,0.729,0.078,0.727,0.287,0.537,0.392,-0.69
1,Lucy right gripper,0.775,0.104,0.728,0.298,0.53,0.401,-0.685
