,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,Lucy left gripper,0.254,-0.002,0.851,-0.308,-0.015,-0.903,-0.298
1,Lucy right gripper,0.196,-0.056,0.842,-0.306,-0.003,-0.901,-0.308
