,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,Lucy left gripper,0.709,0.083,0.727,0.31,0.524,0.422,-0.672
1,Lucy right gripper,0.757,0.105,0.728,0.31,0.524,0.422,-0.672
