,Gripper Position,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,Lucy left gripper,0.627,0.063,0.746,-0.64,-0.01,-0.768,0.003
1,Lucy right gripper,0.626,-0.105,0.747,-0.639,0.029,-0.768,-0.029
